1,0.046630,0.014055
2,0.011281,0.008370
3,0.008158,0.007051
4,0.007767,0.006288
5,0.006483,0.005811
6,0.006155,0.005481
7,0.005746,0.005149
8,0.005510,0.005181
9,0.005341,0.004879
10,0.005255,0.004784
11,0.005024,0.004655
12,0.004889,0.004520
13,0.004808,0.004610
14,0.004795,0.004484
15,0.004632,0.004308
16,0.004572,0.004371
17,0.004498,0.004324
18,0.004447,0.004231
19,0.004370,0.004121
20,0.004512,0.004261
21,0.004312,0.004131
22,0.004215,0.004204
23,0.004181,0.004006
24,0.004143,0.003981
25,0.004098,0.004052
26,0.004051,0.003911
27,0.004005,0.003924
28,0.003969,0.003974
29,0.003911,0.003812
30,0.003832,0.003758
31,0.003779,0.003695
32,0.003699,0.003709
33,0.003955,0.003681
34,0.003619,0.003624
35,0.003579,0.003615
36,0.003556,0.003659
37,0.003530,0.003602
38,0.003505,0.003573
39,0.003483,0.003630
40,0.003449,0.003572
41,0.003426,0.003591
42,0.003390,0.003626
43,0.003363,0.003557
44,0.003336,0.003520
45,0.003307,0.003546
46,0.003288,0.003512
47,0.003260,0.003527
48,0.003230,0.003564
49,0.003205,0.003566
50,0.003184,0.003573
51,0.003196,0.003546
52,0.003145,0.003582
53,0.003014,0.003521
54,0.002977,0.003480
55,0.002946,0.003509
56,0.002940,0.003560
57,0.002918,0.003565
58,0.002909,0.003517
59,0.002880,0.003551
60,0.002867,0.003520
61,0.002797,0.003554
62,0.002779,0.003594
63,0.002771,0.003586
64,0.002753,0.003581
65,0.002740,0.003632
66,0.002742,0.003589
67,0.002705,0.003603
68,0.002693,0.003561
69,0.002685,0.003614
70,0.002678,0.003644
71,0.002675,0.003671
72,0.002665,0.003628
73,0.002651,0.003616
74,0.002645,0.003622
75,0.002639,0.003619
76,0.002639,0.003615
77,0.002634,0.003654
78,0.002634,0.003609
79,0.002625,0.003641
80,0.002621,0.003659
81,0.002618,0.003644
82,0.002621,0.003638
83,0.002617,0.003645
84,0.002612,0.003636
85,0.002609,0.003689
86,0.002611,0.003677
87,0.002610,0.003628
88,0.002605,0.003664
89,0.002608,0.003659
90,0.002606,0.003672
91,0.002604,0.003672
92,0.002605,0.003664
93,0.002605,0.003663
94,0.002601,0.003660
95,0.002606,0.003670
96,0.002601,0.003664
97,0.002601,0.003665
98,0.002601,0.003659
99,0.002597,0.003652
100,0.002603,0.003650
