1,0.145298,0.103036
2,0.074143,0.060693
3,0.044105,0.037218
4,0.032595,0.027797
5,0.028697,0.022692
6,0.025556,0.022051
7,0.023071,0.018222
8,0.022013,0.016952
9,0.020031,0.016848
10,0.020125,0.015507
11,0.018342,0.014991
12,0.018036,0.014650
13,0.017181,0.013745
14,0.016976,0.013794
15,0.016217,0.012659
16,0.016963,0.013337
17,0.015779,0.012392
18,0.016020,0.012169
19,0.015514,0.012146
20,0.015334,0.011903
21,0.014346,0.011816
22,0.014171,0.011881
23,0.014067,0.011455
24,0.013883,0.011316
25,0.013372,0.011469
26,0.013875,0.011749
27,0.013164,0.010803
28,0.012982,0.010948
29,0.013352,0.010528
30,0.012709,0.010987
31,0.013187,0.010862
32,0.012587,0.010858
33,0.012453,0.010800
34,0.012328,0.010595
35,0.012676,0.010600
36,0.012034,0.010707
37,0.012075,0.010499
38,0.011846,0.010272
39,0.012499,0.010437
40,0.012277,0.009928
41,0.012513,0.010244
42,0.011819,0.010300
43,0.011688,0.010405
44,0.012072,0.009922
45,0.012485,0.009860
46,0.011608,0.009809
47,0.012306,0.010075
48,0.011548,0.010054
49,0.011952,0.009936
50,0.011488,0.010011
