1,0.063772,0.035746
2,0.020991,0.018626
3,0.017436,0.016499
4,0.015880,0.015735
5,0.015406,0.015569
6,0.014640,0.015008
7,0.014488,0.014799
8,0.014089,0.014595
9,0.013560,0.014237
10,0.013606,0.014071
11,0.013169,0.014051
12,0.012967,0.013832
13,0.012826,0.013852
14,0.012773,0.013808
15,0.012523,0.013790
16,0.012371,0.013869
17,0.012108,0.013768
18,0.012205,0.013516
19,0.011923,0.013611
20,0.011838,0.013638
21,0.011764,0.013649
22,0.011512,0.013371
23,0.011359,0.013683
24,0.011100,0.013586
25,0.011014,0.013641
26,0.010956,0.013924
27,0.010819,0.013703
28,0.010775,0.013785
29,0.010326,0.014006
30,0.010404,0.013830
31,0.010289,0.014412
32,0.010390,0.013992
33,0.010206,0.014077
34,0.009990,0.013767
35,0.010075,0.014138
36,0.009881,0.014185
37,0.009947,0.014045
38,0.009967,0.014197
39,0.010012,0.014283
40,0.009869,0.014052
41,0.009742,0.014220
42,0.009745,0.014204
43,0.009778,0.014315
44,0.009487,0.014322
45,0.009600,0.014451
46,0.009552,0.014451
47,0.009451,0.014547
48,0.009323,0.014464
49,0.009525,0.014408
50,0.009892,0.014573
